moduleCode,moduleName,examCode,examLink
BU7524,TREASURY MANAGEMENT,BU7524-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7524-1.PDF
BU7525,VENTURE CAPITAL,BU7525-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7525-1.PDF
BU7526,PORTFOLIO AND WEALTH MANAGEMENT,BU7526-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7526-1.PDF
BU7533,APPLIED INVESTMENT MANAGEMENT & TRADING,BU7533-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7533-1.PDF
BU7534,MANAGING GOVERNMENT FINANCE,BU7534-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7534-1.PDF
BU7535,ENERGY FINANCE AND TRADING,BU7535-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7535-1.PDF
BU7538,PRIVATE EQUITY,BU7538-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7538-1%20edited.pdf
BU7545,INTERNATIONAL NGOs,BU7545-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7545-1.PDF
BU7551,POLICY ISSUES IN THE INTERNATIONAL ECONOMIC SYSTEM,BU7551-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7551-1.PDF
BU7554,GLOBAL SUPPLY CHAIN MANAGEMENT,BU7554-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7554-1.PDF
BU7559,SOCIAL INVESTMENT: THE INTERNATIONAL CONTEXT,BU7559-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7559-1.PDF
BU7567,NEGOTIATION THEORY,BU7567-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7567-1.PDF
BU7568,GOVERNANCE INTERNATIONAL TAX AND MNES,BU7568-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7568-1.PDF
BU7573,OPERATIONS MANAGEMENT,BU7573-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7573-1.PDF
BU7575,STRATEGIC MANAGEMENT,BU7575-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7575-1.PDF
BU7578,FINANCIAL MANAGEMENT,BU7578-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7578-1.PDF
BU7583,STRATEGY AND INFORMATION TECHNOLOGY,BU7583-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7583-1.PDF
BU7584,LEADING CHANGE IN A COMPLEX WORLD,BU7584-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7584-1.PDF
