moduleCode,moduleName,examCode,examLink,year
BI3955,BIOCHEMISTRY (iNTERNATIONAL) PAPER 4,BI3955-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3955-1.PDF,2018
BI4135,SS BIOCHEMISTRY PAPER 1,BI4135-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4135-1.PDF,2018
BI4145,SS BIOCHEMISTRY PAPER 2,BI4145-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4145-1.PDF,2018
BI4155,SS BIOCHEMISTRY PAPER 3,BI4155-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4155-1.PDF,2018
BI4165,SS BIOCHEMISTRY PAPER 4,BI4165-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4165-1.PDF,2018
BI4215,SS IMMUNOLOGY PAPER 1,BI4215-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4215-1.PDF,2018
BI4235,SS IMMUNOLOGY PAPER 2,BI4235-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4235-1.PDF,2018
BI4245,SS IMMUNOLOGY PAPER 3,BI4245-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4245-1.PDF,2018
BI4265,SS IMMUNOLOGY PAPER 4,BI4265-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4265-1.PDF,2018
BI4315,SS MOLECULAR MEDICINE PAPER 1,BI4315-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4315-1.PDF,2018
BI4345,SS MOLECULAR MEDICINE PAPER 2,BI4345-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4345-1.PDF,2018
BI4355,SS MOLECULAR MEDICINE PAPER 3,BI4355-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4355-1.PDF,2018
BI4365,SS MOLECULAR MEDICINE PAPER 4,BI4365-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4365-1.PDF,2018
BI4415,SENIOR SOPHISTER NEUROSCIENCE PAPER 4,BI4415-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4415-1.PDF,2018
BI4445,SENIOR SOPHISTER NEUROSCIENCE PAPER 1,X-BI4445-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BI4445-1.PDF,2018
BI4455,SENIOR SOPHISTER NEUROSCIENCE PAPER 1,X-BI4445-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BI4445-1.PDF,2018
BI4515,MOLECULAR HAEMATOLOGY AND ONCOLOGY (HHD),X-BI4515-1,,2018
BI4525,MOLECULAR HAEMATOLOGY AND ONCOLOGY (HHD),X-BI4515-1,,2018
BO3100,PLANT PHYSIOLOGY,BO3100-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3100-2.PDF,2018
BO3107,PLANT MOLECULAR BIOLOGY,BO3107-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3107-2.PDF,2018
BO3122,ENTOMOLOGY,BO3122-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3122-2.PDF,2018
BO3123,SOIL SCIENCE,BO3123-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3123-2.PDF,2018
BO4103,PLANT CONSERVATION AND BIODIVERSITY,BO4103-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4103-2.PDF,2018
BO4105,GLOBAL ENVIRONMENTAL CHANGE,BO4105-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4105-2.PDF,2018
BO4106,PLANT SCIENCE ESSAY PAPER,BO4106-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4106-2.PDF,2018
BO4106,PLANT SCIENCE PROBLEM PAPER,BO4106-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4106-3.PDF,2018
BO4107,PLANT ANIMAL INTERACTIONS,BO4107-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4107-2.PDF,2018
BO4108,PLANT-ENVIRONMENT INTERACTIONS,BO4108-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4108-1.PDF,2018
BO4110,THE EVOLUTION OF PLANTS AND PLANT ATMOSPHERE INTER,BO4110-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4110-1.PDF,2018
BU1511,FUNDAMENTALS OF MANAGEMENT AND ORGANISATION (MCQ) - not available,BU1511-1,,2018
BU1512,FUNDAMENTALS OF MANAGEMENT AND ORGANISATION (MCQ) - not available,BU1512-1,,2018
BU1520,ECONOMICS FOR MANAGEMENT,BU1520-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU1520-1-%20Edited.pdf,2018
BU1530,QUANTATIVE METHODS FOR BUSINESS,BU1530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU1530-1.PDF,2018
BU1540,FUNDAMENTALS OF PHILOSOPHY ETHICS AND SOCIAL SCIENCE,BU1540-1,,2018
BU2510,ORGANISATIONAL BEHAVIOUR,BU2510-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU2510-1.PDF,2018
BU2520,PRINCIPLES OF MARKETING,BU2520-1,,2018
BU2530,INTRODUCTION TO ACCOUNTING,BU2530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU2530-1.PDF,2018
BU2550,INTRODUCTION TO FINANCE,BU2550-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU2550-1.PDF,2018
BU3520,MANAGEMENT ACCOUNTING FOR BUSINESS DECISIONS,X-BU3520-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3520-1.PDF,2018
BU352C,MANAGEMENT ACCOUNTING FOR BUSINESS DECISIONS,X-BU3520-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3520-1.PDF,2018
BU3530,FINANCIAL  ACCOUNTING,X-BU3530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3530-1.PDF,2018
BU353C,FINANCIAL  ACCOUNTING,X-BU3530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3530-1.PDF,2018
BU3601,INNOVATION ENTREPRENEURSHIP AND BUSINESS MODELLIN,BU3601-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3601-1.PDF,2018
BU3620,INTRODUCTION TO FIXED INCOME SECURITIES AND ALTERN,BU3620-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3620-1.PDF,2018
BU3631,CORPORATE FINANCE AND EQUITY VALUATION (MCQ) - not available,BU3631-1,,2018
BU3650,DIGITAL TECHNOLOGY IN OPERATIONS,BU3650-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3650-1.PDF,2018
BU3690,SOCIAL ENTREPRENEURSHIP,BU3690-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3690-1.PDF,2018
BU3710,CONSUMER BEHAVIOUR,BU3710-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3710-1.PDF,2018
BU4501,STRATEGIC MANAGEMENT: THEORY AND PRACTICE,BU4501-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU4501-1.PDF,2018
BU4511,INTERNATIONAL BUSINESS AND THE GLOBAL ECONOMY,BU4511-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU4511-1.PDF,2018
BU4522,EXPLORING ORGANISATIONAL EXPERIENCES,X-BU4522-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4522-1.PDF,2018
BU452C,EXPLORING ORGANISATIONAL EXPERIENCES,X-BU4522-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4522-1.PDF,2018
BU4530,FINANCIAL REPORTING AND ANALYSIS,X-BU4530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4530-1.PDF,2018
BU453C,FINANCIAL REPORTING AND ANALYSIS,X-BU4530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4530-1.PDF,2018
